num_samples,accuracy
50,0.26133333333333336
75,0.33272727272727276
100,0.3760000000000001
125,0.3821052631578947
150,0.4524444444444444
175,0.4415384615384615
200,0.4826666666666666
225,0.4823529411764706
250,0.4943999999999998
275,0.4960975609756097
300,0.5164444444444444
325,0.5277551020408162
350,0.5409523809523809
375,0.5503571428571429
400,0.5433333333333333
425,0.5590625
450,0.5662222222222223
475,0.5752112676056338
500,0.5917333333333333
525,0.5954430379746835



